month_num,Month,session_cnt,purchase_cnt,avg_product_views,avg_exit_rate,conversion_rate
2,Feb,184,3,11.184782608695652,0.07414828958152174,0.016304347826086956
3,Mar,1907,192,19.80859989512323,0.04459957260671211,0.10068169900367069
5,May,3364,365,26.48781212841855,0.04884953299970274,0.10850178359096314
6,June,288,29,36.06597222222222,0.05824238080208334,0.10069444444444445
7,Jul,432,66,36.407407407407405,0.04533036199305556,0.1527777777777778
8,Aug,433,76,38.25866050808314,0.037726668900692845,0.17551963048498845
9,Sep,448,86,33.104910714285715,0.030320497022321428,0.19196428571428573
10,Oct,549,115,33.56648451730419,0.029011401446265937,0.20947176684881602
11,Nov,2998,760,46.03869246164109,0.03820219893962642,0.25350233488992663
12,Dec,1727,216,27.994788650839606,0.04130277535552982,0.1250723798494499
