session_row_id,Month,month_num,VisitorType,TrafficType,Weekend,ProductRelated,ProductRelated_Duration,product_duration_min,BounceRates,ExitRates,PageValues,SpecialDay,session_segment
29,Feb,2,Returning_Visitor,1,False,45,1582.75,26.379166666666666,0.043478261,0.050821256,54.17976426,0.4,High_Potential
35,Feb,2,Returning_Visitor,1,False,52,2086.242857,34.770714283333334,0.015384615,0.020352564,0.0,0.0,High_Potential
40,Feb,2,Returning_Visitor,4,False,46,4084.393939,68.07323231666666,0.0,0.001794872,0.0,0.0,High_Potential
62,Feb,2,Returning_Visitor,2,False,42,1553.583333,25.89305555,0.009,0.019666667,38.30849268,0.0,High_Potential
66,Feb,2,Returning_Visitor,3,False,90,6951.972222,115.8662037,0.002150538,0.015013034,0.0,0.0,High_Potential
100,Feb,2,Returning_Visitor,2,False,38,2635.177778,43.91962963333334,0.0,0.008947368,0.0,0.4,High_Potential
109,Feb,2,Returning_Visitor,3,False,128,5062.213753,84.37022921666667,0.000854701,0.01791847,0.0,0.0,High_Potential
128,Feb,2,Returning_Visitor,3,False,51,1873.216667,31.220277783333334,0.0,0.00754717,0.0,0.6,High_Potential
186,Mar,3,Returning_Visitor,2,False,50,836.8,13.946666666666665,0.0,0.006339869,0.0,0.0,High_Potential
187,Mar,3,Returning_Visitor,2,True,96,3283.166739,54.71944565,0.001960784,0.013509414,0.0,0.0,High_Potential
189,Mar,3,Returning_Visitor,1,False,68,3008.124108,50.1354018,0.007142857,0.016727891,46.53017511,0.0,High_Potential
195,Mar,3,Returning_Visitor,3,False,98,3556.61241,59.2768735,0.002061856,0.010173465,0.0,0.0,High_Potential
230,Mar,3,Returning_Visitor,9,True,50,1245.3,20.755,0.004,0.020666667,7.146260888,0.0,High_Potential
233,Mar,3,Returning_Visitor,2,True,50,1434.255128,23.904252133333333,0.0,0.019230769,22.03276923,0.0,High_Potential
240,Mar,3,Returning_Visitor,2,False,51,1124.693074,18.744884566666666,0.022807018,0.036550087,0.0,0.0,High_Potential
249,Mar,3,Returning_Visitor,1,True,71,2753.378571,45.88964285,0.012676056,0.015201207,0.0,0.0,High_Potential
250,Mar,3,Returning_Visitor,3,True,46,2452.582143,40.87636905,0.007246377,0.022253906,0.0,0.0,High_Potential
258,Mar,3,Returning_Visitor,1,False,45,844.25,14.070833333333333,0.0,0.01037037,0.0,0.0,High_Potential
273,Mar,3,Returning_Visitor,3,False,42,601.7666667,10.029444445,0.0,0.004545455,0.0,0.0,High_Potential
288,Mar,3,Returning_Visitor,1,False,87,3037.499952,50.624999200000005,0.002150538,0.007722385,0.0,0.0,High_Potential
290,Mar,3,Returning_Visitor,3,False,51,1059.253472,17.654224533333334,0.010588235,0.022643039,0.0,0.0,High_Potential
292,Mar,3,Returning_Visitor,1,False,40,905.4856061,15.091426768333333,0.0135,0.03747619,0.0,0.0,High_Potential
315,Mar,3,Returning_Visitor,2,False,54,2631.1,43.85166666666667,0.0,0.00969697,0.0,0.0,High_Potential
319,Mar,3,Returning_Visitor,1,False,46,1380.166667,23.002777783333332,0.0,0.01037037,0.0,0.0,High_Potential
324,Mar,3,Returning_Visitor,1,False,68,2524.719048,42.0786508,0.0,0.000175593,0.0,0.0,High_Potential
331,Mar,3,New_Visitor,2,False,55,1042.242857,17.37071428333333,0.0,0.002222222,0.0,0.0,High_Potential
333,Mar,3,Returning_Visitor,1,False,64,1588.944444,26.4824074,0.003076923,0.009213675,0.0,0.0,High_Potential
334,Mar,3,Returning_Visitor,1,False,75,4105.666667,68.42777778333334,0.002631579,0.017324561,0.0,0.0,High_Potential
337,Mar,3,Returning_Visitor,2,False,49,1384.016667,23.06694445,0.0,0.011904762,0.0,0.0,High_Potential
347,Mar,3,Returning_Visitor,3,False,39,1513.566667,25.22611111666667,0.005128205,0.021367521,0.0,0.0,High_Potential
353,Mar,3,Returning_Visitor,2,False,55,1743.066667,29.051111116666668,0.0,0.004371585,0.0,0.0,High_Potential
358,Mar,3,Returning_Visitor,2,False,46,2749.666667,45.82777778333333,0.0,0.005555556,0.0,0.0,High_Potential
363,Mar,3,Returning_Visitor,3,False,46,2450.688095,40.844801583333336,0.027083333,0.047905093,0.0,0.0,High_Potential
367,Mar,3,Returning_Visitor,2,False,111,3510.879903,58.51466505,9.83e-05,0.009438427,12.01656549,0.0,High_Potential
373,Mar,3,Returning_Visitor,2,False,81,2820.952419,47.01587365,0.008897485,0.029431012,0.0,0.0,High_Potential
384,Mar,3,Returning_Visitor,2,False,61,2258.430586,37.64050976666667,0.01,0.020655014,2.810812468,0.0,High_Potential
395,Mar,3,Returning_Visitor,2,False,44,1406.1,23.435,0.004081633,0.006501458,0.0,0.0,High_Potential
397,Mar,3,Returning_Visitor,2,False,88,1759.275703,29.321261716666665,0.004545455,0.020644542,0.0,0.0,High_Potential
403,Mar,3,Returning_Visitor,1,False,46,909.522619,15.158710316666665,0.004255319,0.020449173,0.0,0.0,High_Potential
405,Mar,3,Returning_Visitor,1,False,40,962.3333333,16.038888888333336,0.0,0.01625,0.0,0.0,High_Potential
420,Mar,3,Returning_Visitor,1,True,55,872.4,14.54,0.003508772,0.01754386,0.0,0.0,High_Potential
422,Mar,3,Returning_Visitor,2,False,38,1372.0,22.866666666666667,0.005405405,0.018918919,0.0,0.0,High_Potential
431,Mar,3,Returning_Visitor,1,True,41,1546.5,25.775,0.0,0.008333333,0.0,0.0,High_Potential
448,Mar,3,Returning_Visitor,3,False,47,1882.113409,31.36855681666667,0.004,0.019314286,17.527656,0.0,High_Potential
476,Mar,3,New_Visitor,2,True,45,2502.966667,41.71611111666667,0.0,0.008510638,9.702113281,0.0,High_Potential
477,Mar,3,Returning_Visitor,1,False,47,3608.9,60.14833333333333,0.0,0.019871795,7.256219133,0.0,High_Potential
480,Mar,3,Returning_Visitor,3,False,39,2487.5,41.458333333333336,0.017105263,0.047105263,0.0,0.0,High_Potential
502,Mar,3,Returning_Visitor,2,False,79,2096.911364,34.948522733333334,0.003333333,0.014008551,25.96702005,0.0,High_Potential
508,Mar,3,Returning_Visitor,3,False,43,1131.808333,18.863472216666665,0.028787879,0.047348485,0.0,0.0,High_Potential
531,Mar,3,Returning_Visitor,3,False,40,624.75,10.4125,0.0,0.014634146,0.0,0.0,High_Potential
552,Mar,3,Returning_Visitor,1,False,61,2202.579167,36.70965278333333,0.005797101,0.017153855,0.0,0.0,High_Potential
556,Mar,3,New_Visitor,8,False,46,627.3083333,10.455138888333332,0.0,0.004166667,0.0,0.0,High_Potential
559,Mar,3,Returning_Visitor,3,False,44,441.7916667,7.363194445,0.004545455,0.018181818,0.0,0.0,High_Potential
564,Mar,3,Returning_Visitor,1,False,80,801.802381,13.363373016666666,0.0,0.0035,0.0,0.0,High_Potential
565,Mar,3,Returning_Visitor,3,True,40,1361.166667,22.686111116666666,0.005,0.0225,0.0,0.0,High_Potential
575,Mar,3,Returning_Visitor,1,True,96,4233.4807,70.55801166666667,0.006635802,0.027174712,3.541145833,0.0,High_Potential
600,Mar,3,Returning_Visitor,3,True,62,1470.853037,24.514217283333334,0.0,0.009683372,0.0,0.0,High_Potential
611,Mar,3,Returning_Visitor,2,False,173,6255.017866,104.25029776666666,0.002531328,0.010737154,0.0,0.0,High_Potential
613,Mar,3,Returning_Visitor,2,False,39,1936.55,32.27583333333333,0.004761905,0.023809524,5.51397619,0.0,High_Potential
619,Mar,3,Returning_Visitor,2,False,88,5958.071931,99.30119885,0.002105263,0.00954386,0.0,0.0,High_Potential
629,Mar,3,Returning_Visitor,1,False,58,3200.366667,53.339444449999995,0.003448276,0.027586207,0.0,0.0,High_Potential
630,Mar,3,Returning_Visitor,2,False,48,1769.697383,29.49495638333333,0.000606061,0.011616162,16.71534488,0.0,High_Potential
632,Mar,3,Returning_Visitor,1,False,40,1694.75,28.245833333333334,0.020512821,0.031196581,0.0,0.0,High_Potential
649,Mar,3,Returning_Visitor,1,False,81,2241.002381,37.35003968333333,0.002439024,0.007012195,0.0,0.0,High_Potential
653,Mar,3,Returning_Visitor,2,True,54,1357.61783,22.62696383333333,0.0,0.004812274,0.0,0.0,High_Potential
683,Mar,3,Returning_Visitor,1,False,58,1400.438961,23.34064935,0.0,0.005951036,0.0,0.0,High_Potential
689,Mar,3,Returning_Visitor,2,False,46,1814.583333,30.24305555,0.003673469,0.02675737,0.0,0.0,High_Potential
696,Mar,3,Returning_Visitor,2,True,111,2524.501905,42.07503175,0.001694915,0.018834175,6.445051499,0.0,High_Potential
698,Mar,3,Returning_Visitor,1,False,44,1616.425824,26.9404304,0.006944444,0.010974434,0.0,0.0,High_Potential
710,Mar,3,Returning_Visitor,2,False,43,1223.347222,20.389120366666667,0.0,0.004545455,0.0,0.0,High_Potential
717,Mar,3,Returning_Visitor,2,False,38,461.5,7.691666666666666,0.01,0.023666667,0.0,0.0,High_Potential
737,Mar,3,Returning_Visitor,2,False,52,1551.666667,25.861111116666667,0.001818182,0.019393939,7.882377258,0.0,High_Potential
739,Mar,3,Returning_Visitor,9,True,48,3726.333333,62.10555555,0.0,0.004166667,0.0,0.0,High_Potential
740,Mar,3,Returning_Visitor,1,False,59,2816.781781,46.946363016666666,0.003214696,0.014766169,2.346800426,0.0,High_Potential
741,Mar,3,Returning_Visitor,1,True,38,667.1666667,11.119444445,0.0,0.005263158,0.0,0.0,High_Potential
742,Mar,3,Returning_Visitor,13,False,41,1202.904762,20.048412699999997,0.011529933,0.033252033,0.0,0.0,High_Potential
769,Mar,3,Returning_Visitor,2,False,109,6682.677557,111.37795928333334,0.000833333,0.005345441,2.526616865,0.0,High_Potential
770,Mar,3,Returning_Visitor,6,True,51,1671.375,27.85625,0.001098901,0.016433566,0.0,0.0,High_Potential
777,Mar,3,Returning_Visitor,13,True,71,1678.905125,27.981752083333333,0.0,0.016037881,8.600043095,0.0,High_Potential
